№ п/п,Положение нормативно-правового акта (НПА),Оригинальная формулировка НПА,Конечная нотация для использования,Приведенная нотация,альтернативный варинат | комментарии,
1,"п. 1 ст. 435, п.2 ст. 437  ГК РФ; п. 12 Правил N 2463","1. Офертой признается адресованное одному или нескольким конкретным лицам предложение, которое достаточно определенно и выражает намерение лица, сделавшего предложение, считать себя заключившим договор с адресатом, которым будет принято предложение.
2. Содержащее все существенные условия договора предложение, из которого усматривается воля лица, делающего предложение, заключить договор на указанных в предложении условиях с любым, кто отзовется, признается офертой (публичная оферта).
12. При дистанционном способе продажи товара продавец обязан заключить договор розничной купли-продажи с любым лицом, выразившим намерение приобрести товар на условиях оферты.","Оферта должна содержать характеристику субъектов договорных отношений, присоединяющихся к договору-оферте.","Оферта должна быть заключена с любым дееспособным лицом, выразившим желание приобрести товар на условиях оферты",,
2,"п. 2 ст. 26.1 Закона о защите прав потребителей
п.19 Правил 2463","До заключения договора продавец должен предоставить покупателю информацию о полном фирменном наименовании (наименовании) продавца (изготовителя)

Зарегистрированные на территории РФ юридические лица обязаны указывать полное фирменное наименование (наименование), основной государственный регистрационный номер, адрес и место нахождения, адрес электронной почты и (или) номер телефона, а ИП - фамилию, имя, отчество (при наличии), основной государственный регистрационный номер, адрес электронной почты и (или) номер телефона","Оферта должна содержать полную характеристику Продавца: наименование, основной государственный регистрационный номер, адрес и место нахождения, адрес электронной почты и (или) номер телефона или фамилию, имя, отчество (при наличии), основной государственный регистрационный номер, адрес электронной почты и (или) номер телефона","Если Продавец юр лицо – наименование, основной государственный регистрационный номер, адрес и место нахождения, адрес электронной почты и (или) номер телефона

Если Продавец ИП - фамилию, имя, отчество (при наличии), основной государственный регистрационный номер, адрес электронной почты и (или) номер телефона",,
3,п. 2 ст. 26.1 Закона о защите прав потребителей,"До заключения договора продавец должен предоставить покупателю информацию о цене, порядке оплаты товара, условиях его приобретения, доставке, сроках службы, годности и гарантийном сроке, а также о сроке действия предложения о заключении договора
","Оферта должна информировать Покупателя об определении цены, разъяснять Покупателю порядок оплаты товара, приобретения товара, способах доставки, определении срока службы/годности/гарантии. ","Оферта должна содержать положения об определении цены, порядок оплаты товара, приобретения товара, способах доставки, определении срока службы/годности/гарантии. Сроки действия оферты",,
4,п. 21 Правил N 2463,"продавец должен довести до покупателя информацию о форме и способах направления претензий. Если такая информация не представлена на соответствующем сайте (странице сайта) или в программе для электронных вычислительных машин, покупатель вправе направить претензию в любой форме и любым способом",Оферта должна содеражть право Покупателя направлять претензии и иразъяснять информацию о форме и способах направления претензий.,Оферта должна содеражть информацию о форме и способах направления претензий,,
5,п. 14 Правил N 2463,"Продавец предоставляет потребителю подтверждение заключения договора розничной купли-продажи на условиях оферты, которая содержит существенные условия этого договора, после получения продавцом сообщения потребителя о намерении заключить договор розничной купли-продажи. Указанное подтверждение должно содержать номер заказа или иной способ идентификации заказа, который позволяет потребителю получить информацию о заключенном договоре розничной купли-продажи и его условиях.","Оферта должна содержать информацию об уведомлении Покупателя о подтверждении заключения договора розничной купли-продажи на условиях оферты, данное подтверждение должно содержать номер заказа или иной способ идентификации заказа, а также условия договора розничной купли-продажи.",Подтверждение заключения договора должно содержать номер заказа или иной способ идентификации заказа,,
6,п.4 ст. 26.1 Закона о защите прав потребителей,"4. Потребитель вправе отказаться от товара в любое время до его передачи, а после передачи товара - в течение семи дней.  В случае, если информация о порядке и сроках возврата товара надлежащего качества не была предоставлена в письменной форме в момент доставки товара, потребитель вправе отказаться от товара в течение трех месяцев с момента передачи товара. 
Возврат товара надлежащего качества возможен в случае, если сохранены его товарный вид, потребительские свойства, а также документ, подтверждающий факт и условия покупки указанного товара. Отсутствие у потребителя документа, подтверждающего факт и условия покупки товара, не лишает его возможности ссылаться на другие доказательства приобретения товара у данного продавца. Потребитель не вправе отказаться от товара надлежащего качества, имеющего индивидуально-определенные свойства, если указанный товар может быть использован исключительно приобретающим его потребителем. При отказе потребителя от товара продавец должен возвратить ему денежную сумму, уплаченную потребителем по договору, за исключением расходов продавца на доставку от потребителя возвращенного товара, не позднее чем через десять дней со дня предъявления потребителем соответствующего требования.","Оферта должна информировать Покупателя о его праве на отказ от товара надлежащего качества до его передачи в любое время, а после его передачи в течение 7 дней, а так же о порядке замены такого товара и предупреждение о том, что отказ от товара созданного по индивидуальным характеристикам Покупателя - невозможен.
","Оферта должна содержать право Покупателя на отказ от товара – в любое время до получения , после получения не менее 7 дней, либо 3 месяца, если информация не предоставлена в момент доставки
При описании условий возврата оферта должны соблюдаться следующие условия: Товар должен сохранять потребительски свойства, товарный вид. Документ, подтверждающий факт и условия покупки указанного товара. При отсутствии документа – иные доказательства приобретения.
Покупатель не вправе отказаться от товара, если он может быть использован исключительно приобретающим его потребителем.
Срок возврата – не более 10 дней. Сумма может быть за вычетом расходов на доставку.","Надо сохранять условия применения, параметры и ограничения","Потребитель имеет право отказаться от товара до его передачи или в течение семи дней после передачи. В случае отсутствия информации о порядке и сроках возврата в момент доставки товара, потребитель вправе отказаться от товара в течение трех месяцев. Для возврата товара необходимо сохранить его товарный вид и потребительские свойства, а также иметь документ о покупке. Потребитель не может отказаться от товара с индивидуально-определенными свойствами. Продавец обязан вернуть денежную сумму за вычетом расходов на доставку в течение 10 дней после предъявления требования потребителем."
7,"ст. 15 ГК РФ; п. п. 1, 2 ст. 13 Закона о защите прав потребителей","За нарушение срока передачи товара покупатель может предъявить продавцу требование о возмещении убытков, причиненных вследствие нарушения срока доставки товара.",Оферта должна содержать право Покупателя на предъявление требований о возмещении убытков за нарушение сроков доставки.,"Оферта может содержать право покупателя на предъявление требований о возмещении убытков за нарушение сроков доставки и  не может содержать условий, запрещающих такие убытки истребовать",,
8,п. 3 ст. 23.1 Закона о защите прав потребителей,"Если товар был предварительно оплачен покупателем полностью или частично, то в случае нарушения срока доставки с продавца может быть взыскана неустойка (пени) в размере 0,5% суммы предварительной оплаты за каждый день просрочки, но не более суммы предварительной оплаты. ","Оферта может содержать положения об ответсвенности продавца за нарушения сроков доставки в виде неустойки 0.5% за каждый день просрока доставки, но данное требование не является обязательным.","При наличии условий об ответственности Продавца за нарушение сроков доставки оферта должна содержать условия о размере  неустойки за нарушение сроков доставки  не менее 0,5% суммы предварительной оплаты за каждый день просрочки, но не более суммы предварительной оплаты",Почему тут ушло упоминание неустойки,
9,п.23 Правил N 2463,"Расходы на осуществление возврата суммы, уплаченной потребителем в соответствии с договором розничной купли-продажи за товар ненадлежащего качества, несет продавец. В других случаях распределение указанных расходов определяется офертой.",Оферта должна содержать положение о распредлении расходов между продавцом и покупателем в случае признания товара товаром ненадлежащего качества.,"Расходы за товар ненадлежащего качества – за Продавцом.
В других случаях – определено офертой.","нет конкретики. Если указываешь лицо, то указывай кто конктретно - ACTOR",
10,Ст. 18 Закона о защите прав потребителей,"1. Потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, по своему выбору вправе: потребовать замены на товар этой же марки (этих же модели и (или) артикула)потребовать замены на такой же товар другой марки (модели, артикула) с соответствующим перерасчетом покупной цены; потребовать соразмерного уменьшения покупной цены; потребовать незамедлительного безвозмездного устранения недостатков товара или возмещения расходов на их исправление потребителем или третьим лицом; отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы. По требованию продавца и за его счет потребитель должен возвратить товар с недостатками. При этом потребитель вправе потребовать также полного возмещения убытков, причиненных ему вследствие продажи товара ненадлежащего качества. Убытки возмещаются в сроки, установленные настоящим Законом для удовлетворения соответствующих требований потребителя. 
В отношении технически сложного товара потребитель в случае обнаружения в нем недостатков вправе отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за такой товар суммы либо предъявить требование о его замене  ... в течение пятнадцати дней со дня передачи потребителю такого товара. По истечении этого срока указанные требования подлежат удовлетворению в одном из следующих случаев: обнаружение существенного недостатка товара; нарушение установленных настоящим Законом сроков устранения недостатков товара; невозможность использования товара в течение каждого года гарантийного срока в совокупности более чем тридцать дней вследствие неоднократного устранения его различных недостатков. 
Перечень технически сложных товаров утверждается Правительством Российской Федерации.
3. Потребитель вправе предъявить требования ... изготовителю, уполномоченной организации или уполномоченному индивидуальному предпринимателю, импортеру. Вместо предъявления этих требований потребитель вправе возвратить изготовителю или импортеру товар ненадлежащего качества и потребовать возврата уплаченной за него суммы. Отсутствие у потребителя кассового или товарного чека либо иного документа, удостоверяющих факт и условия покупки товара, не является основанием для отказа в удовлетворении его требований. 
Продавец (изготовитель), уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер обязаны принять товар ненадлежащего качества у потребителя и в случае необходимости провести проверку качества товара. Потребитель вправе участвовать в проверке качества товара. В случае спора о причинах возникновения недостатков товара продавец (изготовитель), уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер обязаны провести экспертизу товара за свой счет. Экспертиза товара проводится ... как можно скорее в течение 20 дней, в сложных случаях..45 дней.. Потребитель вправе присутствовать при проведении экспертизы товара и в случае несогласия с ее результатами оспорить заключение такой экспертизы в судебном порядке. Если в результате экспертизы товара установлено, что его недостатки возникли вследствие обстоятельств, за которые не отвечает продавец (изготовитель), потребитель обязан возместить продавцу (изготовителю), уполномоченной организации или уполномоченному индивидуальному предпринимателю, импортеру расходы на проведение экспертизы, а также связанные с ее проведением расходы на хранение и транспортировку товара.
6. Продавец (изготовитель), уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер отвечает за недостатки товара, на который не установлен гарантийный срок, если потребитель докажет, что они возникли до передачи товара потребителю или по причинам, возникшим до этого момента.В отношении товара, на который установлен гарантийный срок, продавец (изготовитель), уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер отвечает за недостатки товара, если не докажет, что они возникли после передачи товара потребителю вследствие нарушения потребителем правил использования, хранения или транспортировки товара, действий третьих лиц или непреодолимой силы.
7. Доставка крупногабаритного товара и товара весом более пяти килограммов для ремонта, уценки, замены и (или) возврат их потребителю осуществляются силами и за счет продавца (изготовителя, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера). В случае неисполнения данной обязанности, а также при отсутствии продавца (изготовителя, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера) в месте нахождения потребителя доставка и (или) возврат указанных товаров могут осуществляться потребителем. При этом продавец (изготовитель, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер) обязан возместить потребителю расходы, связанные с доставкой и (или) возвратом указанных товаров.","Оферта должна содержать следущие права покупателя:
- потребовать безвозмездного устранения недостатков товара или возмещения расходов на их исправление
- потребовать соразмерного уменьшения покупной цены;
- потребовать замены на товар аналогичной марки (модели, артикула) или на такой же товар другой марки (модели, артикула) с соответствующим перерасчетом цены товара;
- отказаться от исполнения договора и потребовать возврата уплаченной за товар суммы. 

Продавец имеет право требовать возврата товара за свой счет. 

При возникновении  существенных недостатков в технически сложном товаре, Оферта должна содержать следующие минимальные сроки предъявления требований:
15 дней. Существенный недостаток - это изъян мешающий использовать товар более 30 дней в году. 

Продавец обязан произвести проверку экспертизу за свой счет в максимально сзажатые сроки, либо за 20 дней, в исключительных случаях не более 45 дней. 

Оферта должна содержать сроки предъявления требований по качеству товара:  в течение гарантийного срока, в соответсвии с законодательством в зависимости от вида товара. 
Крупногабаритный товар и/или весом более 5 кг доставляется силами и за счет продавца. 
","Оферта должна содержать следущие права покупателя:
- потребовать безвозмездного устранения недостатков товара или возмещения расходов на их исправление
- потребовать соразмерного уменьшения покупной цены;
- потребовать замены на товар аналогичной марки (модели, артикула) или на такой же товар другой марки (модели, артикула) с соответствующим перерасчетом цены товара;
- отказаться от исполнения договора и потребовать возврата уплаченной за товар суммы. 

Продавец имеет право требовать возврата товара за свой счет. 

При возникновении  существенных недостатков в технически сложном товаре, Оферта должна содержать следующие минимальные сроки предъявления требований:
15 дней. Существенный недостаток - это изъян мешающий использовать товар более 30 дней в году. 

Продавец обязан произвести проверку экспертизу за свой счет в максимально сзажатые сроки, либо за 20 дней, в исключительных случаях не более 45 дней. 

Оферта должна содержать сроки предъявления требований по качеству товара:  в течение гарантийного срока, в соответсвии с законодательством в зависимости от вида товара. 
Крупногабаритный товар и/или весом более 5 кг доставляется силами и за счет продавца. 


Продавец обязан произвести проверку экспертизу за свой счет в максимально сзажатые сроки, либо за 20 дней, в исключительных случаях не более 45 дней. 

Оферта должна содержать сроки предъявления требований по качеству товара:  в течение гарантийного срока, в соответсвии с законодательством в зависимости от вида товара. 
Крупногабаритный товар и/или весом более 5 кг доставляется силами и за счет продавца. 
","Достаточно кратко и общё, нет условий, ограничений, параметров примерения","Оферта должна предупреждать Покупателя о его правах и обязанностях, правах и обязанностях Продавца, возникающих из присоединения к договору оферты. А так же в оферте доложны определяться и доводиться до сведения сторон сроки предъявления взаимных требований Сторон договора."
11,Ст. 19 Закона о защите прав потребителей,"1. Потребитель вправе предъявить предусмотренные статьей 18 настоящего Закона требования к продавцу (изготовителю, уполномоченной организации или уполномоченному индивидуальному предпринимателю, импортеру) в отношении недостатков товара, если они обнаружены в течение гарантийного срока или срока годности. В отношении товаров, на которые гарантийные сроки или сроки годности не установлены, потребитель вправе предъявить указанные требования, если недостатки товаров обнаружены в разумный срок, но в пределах двух лет со дня передачи их потребителю, если более длительные сроки не установлены законом или договором.

2. Гарантийный срок товара, а также срок его службы исчисляется со дня передачи товара потребителю, если иное не предусмотрено договором. Если день передачи установить невозможно, эти сроки исчисляются со дня изготовления товара.Для сезонных товаров (обуви, одежды и прочих) эти сроки исчисляются с момента наступления соответствующего сезона, срок наступления которого определяется соответственно субъектами Российской Федерации исходя из климатических условий места нахождения потребителей.
.3. Гарантийные сроки могут устанавливаться на комплектующие изделия и составные части основного товара. Гарантийные сроки на комплектующие изделия и составные части исчисляются в том же порядке, что и гарантийный срок на основной товар.Гарантийные сроки на комплектующие изделия и составные части товара считаются равными гарантийному сроку на основное изделие, если иное не установлено договором. В случае, если на комплектующее изделие и составную часть товара в договоре установлен гарантийный срок меньшей продолжительности, чем гарантийный срок на основное изделие, потребитель вправе предъявить требования, связанные с недостатками комплектующего изделия и составной части товара, при их обнаружении в течение гарантийного срока на основное изделие, если иное не предусмотрено договором.Если на комплектующее изделие установлен гарантийный срок большей продолжительности, чем гарантийный срок на основной товар, потребитель вправе предъявить требования в отношении недостатков товара при условии, что недостатки комплектующего изделия обнаружены в течение гарантийного срока на это изделие, независимо от истечения гарантийного срока на основной товар.



","Потребитель может предъявить требования к продавцу, если обнаружит недостатки товара в течение гарантийного срока или срока годности.

Гарантийный срок и срок годности начинаются:

со дня передачи товара потребителю;
со дня изготовления товара, если день передачи установить невозможно;
с момента наступления соответствующего сезона для сезонных товаров.
Гарантийный срок товара может быть установлен на комплектующие изделия и составные части основного товара.

Гарантийный срок на комплектующие изделия считается равным гарантийному сроку на основное изделие, если иное не установлено договором.","1.Сроки предъявления требований, связанных с недостатками товаров: в течение гарантийного срока или срока годности. Гарантийные сроки или сроки годности не установлены: в разумный срок, но в пределах двух лет со дня передачи товара потребителю, если более длительные сроки не установлены законом или договором.
2. Сроки исчисляются со дня доставки товара потребителю. Если потребитель лишен возможности использовать товар вследствие обстоятельств, зависящих от продавца, гарантийный срок не течет до устранения продавцом таких обстоятельств. Если день доставки, установки, подключения, сборки товара, устранения зависящих от продавца обстоятельств, вследствие которых потребитель не может использовать товар по назначению, определить невозможно, -со дня заключения договора купли-продажи.

3. Гарантийные сроки на комплектующие изделия и составные части исчисляются в том же порядке, что и гарантийный срок на основной товар. Гарантийные сроки на комплектующие изделия и составные части товара считаются равными гарантийному сроку на основное изделие, если иное не установлено договором. В случае, если на комплектующее изделие и составную часть товара в договоре установлен гарантийный срок меньшей продолжительности, чем гарантийный срок на основное изделие, потребитель вправе предъявить требования, связанные с недостатками комплектующего изделия и составной части товара, при их обнаружении в течение гарантийного срока на основное изделие, если иное не предусмотрено договором.

4. Если на комплектующее изделие установлен гарантийный срок большей продолжительности, чем гарантийный срок на основной товар, потребитель вправе предъявить требования в отношении недостатков товара при условии, что недостатки комплектующего изделия обнаружены в течение гарантийного срока на это изделие, независимо от истечения гарантийного срока на основной товар.

","Оферта должна информировать Покупателя о его праве предъявлять требования по поводу товара Продавцу в рамках гарантийных сроков для приобретенного товара, об условиях переноса и продления данных сроков, условиях установления сроков, если по какой то причине они не могут быть установлены офертой, а так же содержать гарантийные сроки на отдельные части составного товара и комплектующие.",
12,Ч.1 Ст.21 Закона о защите прав потребителей,"В случае обнаружения потребителем недостатков товара и предъявления требования о его замене продавец (изготовитель, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер) обязан заменить такой товар в течение семи дней со дня предъявления указанного требования потребителем, а при необходимости дополнительной проверки качества такого товара продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) - в течение двадцати дней со дня предъявления указанного требования.
Если у продавца (изготовителя, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера) в момент предъявления требования отсутствует необходимый для замены товар, замена должна быть проведена в течение месяца со дня предъявления такого требования.","Оферта должна содержать право Покупателя на замену товара при обнаружении недостатков, сроки и механизм такой замены, порядок инициации и проведения экспертизы возникшего недостатка, указывать на условия определяющие сторону понесущую расходы по обеспечению экспертизы и иные расходы по замене товара. По закону и независимо от укзанного в оферте условия срок замены товара ненадлежащего качества - 7 дней со дня предъявления требования, при проведении проверки – 20 дней.
При отсутствии товара - месяц. ","По закону и независимо от укзанного в оферте условия срок замены товара ненадлежащего качества - 7 дней со дня предъявления требования, при проведении проверки – 20 дней.
При отсутствии товара - месяц. ",,
13,Ст. 20 Закона о защите прав потребителей,"Если срок устранения недостатков товара не определен в письменной форме соглашением сторон, эти недостатки должны быть устранены изготовителем (продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) незамедлительно, то есть в минимальный срок, объективно необходимый для их устранения с учетом обычно применяемого способа. Срок устранения недостатков товара, определяемый в письменной форме соглашением сторон, не может превышать сорок пять дней.
В случае, если во время устранения недостатков товара станет очевидным, что они не будут устранены в определенный соглашением сторон срок, стороны могут заключить соглашение о новом сроке устранения недостатков, товара. При этом отсутствие необходимых для устранения недостатков товара запасных частей (деталей, материалов), оборудования или подобные причины не являются основанием для заключения соглашения о таком новом сроке и не освобождают от ответственности за нарушение срока, определенного соглашением сторон первоначально.","Оферта должна содержать сроки устранения Продавцом недостатков товара не превышающие 45 дней. А так же предупреждать, что в случаях, когда устранить недостатки или заменить товар или комплектующие невозможно Продавец не освобождается от отвественности и обязанностей перед Покупателем.","Оферта должна содержать срок устранения недостатков - не более 45 дней.
 В случае невозможности устранить недостатки или заменить товар или комплектующие Продавец не освобождается от отвественности и обязанностей перед Покупателем.",,
14,Ч.2 ст. 21 Закона о защите прав потребителей,"Товар ненадлежащего качества должен быть заменен на новый товар, то есть на товар, не бывший в употреблении.
При замене товара гарантийный срок исчисляется заново со дня передачи товара потребителю","Оферта должна информировать Покупателя о том, что товар новый и не бывший в употреблении,а так же разъяснять, что гарантийные сроки после замены товара или устраенения недостатка исчисляются заново с момента передачи товара.","Оферта должна содержать информацию, что товар новый.
Оферта  должна содержать положением о том, что Гарантийные сроки  после замены товара или устраенения недостатка исчисляются заново с момента передачи товара",,
15,Ст.22 Закона о защите прав потребителей,"Требования потребителя о соразмерном уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара потребителем или третьим лицом, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, причиненных потребителю вследствие продажи товара ненадлежащего качества либо предоставления ненадлежащей информации о товаре, подлежат удовлетворению продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) в течение десяти дней со дня предъявления соответствующего требования.","Оферта может сожержать сроки удовлетворения требований Покупателя об уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, которые должны быть удовлетворены в тетчении 10 дней с момента предъявления такого требования.","Оферта может сожержать сроки удовлетворения требований потребителя об уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков - 10 дней с момента предъявления такого требования.",,
