№ п/п,Положение нормативно-правового акта (НПА),Оригинальная формулировка НПА,Конечная нотация для использования,Приведенная нотация,альтернативный варинат | комментарии,
16,П.1 ст. 23 Закона о защите прав потребителей,"1. За нарушение предусмотренных статьями 20, 21 и 22 настоящего Закона сроков, а также за невыполнение (задержку выполнения) требования потребителя о предоставлении ему на период ремонта (замены) аналогичного товара продавец (изготовитель, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер), допустивший такие нарушения, уплачивает потребителю за каждый день просрочки неустойку (пеню) в размере одного процента цены товара.","Оферта может содержать упоминания об ответсвенности Продавца в виде неустойке и пени в размере 1% за каждый день при нарушении сроков устранения недостатков товара, сроков замены товара, сроков предоставления аналогичного товара во временное пользование на время ремонта или замены товара, уменьшения покупной цены, а так же за отказ в удовлетворении или задержку выполнения требований Покупателя.","Оферта может содержать упоминания об неустойке при нарушении сроков устранения недостатков товара, сроков замены товара, уменьшения покупной цены,  за невыполнение (задержку выполнения) требования потребителя о предоставлении ему на период ремонта (замены) аналогичного товара пени/неустойка  в размере 1% от цены товара за день.",,
17,Ст. 24 Закона о защите прав потребителей,"1. При замене товара ненадлежащего качества на товар этой же марки (этих же модели и (или) артикула) перерасчет цены товара не производится.2. При замене товара ненадлежащего качества на такой же товар другой марки (модели, артикула) в случае, если цена товара, подлежащего замене, ниже цены товара, предоставленного взамен, потребитель должен доплатить разницу в ценах; в случае, если цена товара, подлежащего замене, выше цены товара, предоставленного взамен, разница в ценах выплачивается потребителю. Цена товара, подлежащего замене, определяется на момент его замены, а если требование потребителя не удовлетворено продавцом, цена заменяемого товара и цена передаваемого взамен товара определяются на момент вынесения судом решения о замене товара.
3. В случае предъявления потребителем требования о соразмерном уменьшении покупной цены товара в расчет принимается цена товара на момент предъявления потребителем требования об уценке или, если оно добровольно не удовлетворено, на момент вынесения судом решения о соразмерном уменьшении покупной цены.4. При возврате товара ненадлежащего качества потребитель вправе требовать возмещения разницы между ценой товара, установленной договором, и ценой соответствующего товара на момент добровольного удовлетворения такого требования или, если требование добровольно не удовлетворено, на момент вынесения судом решения.
5. В случае возврата товара ненадлежащего качества, проданного в кредит, потребителю возвращается уплаченная за товар денежная сумма в размере погашенного ко дню возврата указанного товара кредита, а также возмещается плата за предоставление кредита.6. В случае возврата товара ненадлежащего качества, приобретенного потребителем за счет потребительского кредита (займа), продавец обязан возвратить потребителю уплаченную за товар денежную сумму, а также возместить уплаченные потребителем проценты и иные платежи по договору потребительского кредита (займа).


","Оферта должна содержать право Покупателя требовать обмена товара ненадлежащего качества, производства перерасчета при разнице стоимости этих товаров, а так же  информировать о порядоке оплаты, замены товаров приобретенных в кредит, об условиях расчетов в случае признания товара некачественным. 




","Оферта должна содержать положение об обмене товара ненадлежащего качества и порядок расчетов при разнице стоимости:
При обмене товара ненадлежащего качества на подобный - перерасчет не производится. При замене на товар другой марки или другой модели или который дороже/дешевле – разница в стоимости устраняется путем доплаты или возврата средств. Цена рассчитывается на момент замены.
Оферта содержит право Покупателя требовать разницу между ценой покупки и ценой на момент удовлетворения требования.


Если оферта подразумевает возможность оплаты товара в кредит, оферта должна содержать порядок возврата такого товара, (в случае признания некачественным), порядок расчетов и определеять Продавца, как сторону несущую расходы по предоставлению кредита Покупателю.

",,
18,Ст.25 закона о защите прав потребителей,"1. Потребитель вправе обменять непродовольственный товар надлежащего качества на аналогичный товар у продавца, у которого этот товар был приобретен, если указанный товар не подошел по форме, габаритам, фасону, расцветке, размеру или комплектации. 2.Потребитель имеет право на обмен непродовольственного товара надлежащего качества в течение четырнадцати дней, не считая дня его покупки. 
4.Отсутствие у потребителя товарного чека или кассового чека либо иного подтверждающего оплату товара документа не лишает его возможности ссылаться на свидетельские показания.
6.Перечень товаров, не подлежащих обмену по основаниям, указанным в настоящей статье, утверждается Правительством Российской Федерации.
5.В случае, если аналогичный товар отсутствует в продаже на день обращения потребителя к продавцу, потребитель вправе отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за указанный товар денежной суммы. Требование потребителя о возврате уплаченной за указанный товар денежной суммы подлежит удовлетворению в течение трех дней со дня возврата указанного товара.","Оферта должна содожержать положение об отнесении товара к категории  - возвратный/невозвратный.
Оферта должна содержать сроки обмена товара надлежащего качества в связи с неподхождением по критериями и кратко эти критерии.

Оферта должна содержать требования, предъявляемые к товару и его состоянию на момент возврата. 
Оферта может, но не обязана сожержать пути разрешения ситуаций, возникающих в ходе обмена товара. - в данном случае лучше всего указать в оферте отссылку к законодательству и сформулировать ее так: ""В случае возникновения иных споров, порядок разрешения которых не предусмотрен в данной Оферте, руководствоваться законодательством РФ."" или иной формулировкой БЕЗ искажения смысла. ","Оферта должна содожержать положение об отнесении товара к категории  - возвратный/невозвратный.
Оферта должна содержать сроки обмена товара надлежащего качества в связи с неподхождением по критериями и кратко эти критерии.

Оферта должна содержать требования, предъявляемые к товару и его состоянию на момент возврата. 
Оферта может, но не обязана сожержать пути разрешения ситуаций, возникающих в ходе обмена товара. - в данном случае лучше всего указать в оферте отссылку к законодательству и сформулировать ее так: ""В случае возникновения иных споров, порядок разрешения которых не предусмотрен в данной Оферте, руководствоваться законодательством РФ."" или иной формулировкой БЕЗ искажения смысла. ",,
19,"ст. 14 Правила продажи товаров при дистанционном способе продажи товара по договору розничной купли-продажи
","При дистанционном способе продажи товара с использованием информационно-телекоммуникационной сети ""Интернет"" (далее - сеть ""Интернет"") и (или) программы для электронных вычислительных машин продавец предоставляет потребителю подтверждение заключения договора розничной купли-продажи на условиях оферты, которая содержит существенные условия этого договора, после получения продавцом сообщения потребителя о намерении заключить договор розничной купли-продажи.
","Оферта должна информировать Стороны договора в полной мере и содержать исчерпывающую информацию о товаре, в ходе приобретения которого возникают отношения между ними.                        ","Оферта должна содержать полную исчерпывающую  информацию о товаре, в ходе приобретения которого возникают отношения суъбектов договора.                        ",,
20,"ГК РФ Статья 438. Акцепт,  ФЗ ""О рекламе""","Если в соответствии с Гражданским кодексом Российской Федерации реклама признается офертой, такая оферта действует в течение двух месяцев со дня распространения рекламы при условии, что в ней не указан иной срок.   Когда в оферте определен срок для акцепта, договор считается заключенным, если акцепт получен лицом, направившим оферту, в пределах указанного в ней срока.


Когда в оферте определен срок для акцепта, договор считается заключенным, если акцепт получен лицом, направившим оферту, в пределах указанного в ней срока.
","Оферта должна информировать Стороны договора о сроках действия этой оферты, то есть с момента возникновения правовых отношений между субъектами, в связи с присоединением к договору до момента их прекращения. В случае, если оферта не определяет сроки действиях этой оферты, то ее сроки определяет законодательство в пределах 2 месяцев.","Оферта должна содержать сроки действия оферты, то есть с момента возникновения правовых отношений до момента их прекращения. ",,
21,"ФЗ ""О персональных данных"",  ст.7., ст. 6.
","Операторы и иные лица, получившие доступ к персональным данным, обязаны не раскрывать третьим лицам и не распространять персональные данные без согласия субъекта персональных данных, если иное не предусмотрено федеральным законом.   Обработка персональных данных должна осуществляться с соблюдением принципов и правил, предусмотренных настоящим Федеральным законом. 

Обработка персональных данных допускается в следующих случаях - обработка персональных данных осуществляется с согласия субъекта персональных данных на обработку его персональных данных;
","Оферта должна предупреждать Покупателя об обязанности Продавца сохранять конфиденциальность персональных данных, о нераглашении их третьим лицам, о возможности их хранения и защиты с согласия их владельца.","Оферта должна содержать положения о конфиденциальности персональных данных, о нераглашении их третьим лицам, об их хранении и защите с согласия владельца.",,
22,"ФЗ ""О защите информации""","Положения оферты не должны противоречить положениям закона, тк. отношения, возникающие на почве купли-продажи и отраженные в оферте подпадают под сферу регуляции данного закона.","Оферта не должна содержать положения противоречащие положениям закона. Любая информация, созданная, размещенная в сети Интернет или переданная Сторонами друг другу в ходе договорных отношений должна быть защищена, согласно положениям закона. ","Оферта не должна содержать положения, несопоставимые с положениями закона",,
23,"Положение ЦБ РФ «Об эмиссии банковских карт и об операциях, совершаемых с использованием платёжных карт» от 24.12.2004 № 266-П","Операции по банковским картам совершаются держателем карты либо уполномоченным им лицом (п. 4 ст. 847 ГК РФ).
","Оферта должна предупреждать Стороны договора об их защите от действий третих лиц, то есть от мошенничества. А так же предупреждать Покупателя, что в рамках закона, при покупке товара дистанционным способом и оплате через банковскую карту, подразумевается, что владелец карты и заказчик - одно лицо, либо иное уполномоченное Покупателем лицо. ","Оферта должна содержать положение защищающее обе стороны отношений от действий третих лиц(мошенничества). При покупке товара дистанционным способом и оплате через банковскую карту, подразумевается, что владелец карты и заказчик - одно лицо. (Защита от мошенничества ст.159 УК)",,
24,ГК РФ Статья 510. Доставка товаров,"Доставка товаров осуществляется поставщиком путем отгрузки их транспортом, предусмотренным договором поставки, и на определенных в договоре условиях.  Договором поставки может быть предусмотрено получение товаров покупателем (получателем) в месте нахождения поставщика (выборка товаров).","Оферта должна информировать Покупателя о способах доставки доступных ему и предлагать сделать выбор, либо доносить порядок одного предложенного Продавцом способа. ","Оферта должна содержать способы доставки доступные Покупателю и предлагать на выбор, либо доносить порядок имеющегося способа. ",,
25,Правила продажи товаров по договору розничной купли-продажи,"Доставленный товар передается потребителю по указанному им адресу, а при отсутствии потребителя - любому лицу, предъявившему информацию о номере заказа, либо иное (в том числе электронное) подтверждение заключения договора розничной купли-продажи или оформление заказа, если иное не предусмотрено законодательством Российской Федерации или договором розничной купли-продажи.

","Оферта должна предупреждать Покупателя о том, что получателем товара выступает сам Покупатель или иное лицо,уполномоченное Покупателем, предоставившее индентификационные данные заказа.","Получателем товара выступает Покупатель или иное лицо, предоставившее индектификационные данные заказа.",,
26,ГК РФ Статья 513. Принятие товаров покупателем,"Покупатель (получатель) обязан совершить все необходимые действия, обеспечивающие принятие товаров, поставленных в соответствии с договором поставки., окупатель (получатель) обязан в этот же срок проверить количество и качество принятых товаров в порядке, установленном законом, иными правовыми актами, договором или обычаями делового оборота, и о выявленных несоответствиях или недостатках товаров незамедлительно письменно уведомить поставщика.",Оферта должна предупреждать Покупателя о его обязанности принять заказнный им товар и проверить его комплектность и состояние в момент получения. ,Оферта должна содержать обязанность Покупателя о принятии заказнного товара и о проверке его комплектности и состояния.,,
27,Правила продажи товаров по договору розничной купли-продажи,"Оплата товара потребителем путем перевода средств на счет третьего лица, указанного продавцом, не освобождает продавца от обязанности осуществить возврат уплаченной потребителем суммы при возврате потребителем товара как надлежащего, так и ненадлежащего качества

","Оферта должна информировать Покупателя об обязанности Продавца защищать Стороны договора от противоправных действий третьих лиц, а так же о том, что оплата товара Покупателем на счет третьих лиц не освобождает Продавца от обязанностей, вытекающих из договора.","Оферта содержит положение, защищающее стороны от действий третьих лиц. Оплата на счет третьих лиц не освобождает Продавца от обязанностей.",,
28,ГК РФ Статья 494. Публичная оферта товара,"Предложение товара в его рекламе, каталогах и описаниях товаров, обращенных к неопределенному кругу лиц, признается публичной офертой (пункт 2 статьи 437), если оно содержит все существенные условия договора розничной купли-продажи.  Выставление в месте продажи товаров, ...демонстрация их образцов или предоставление сведений о продаваемых товарах ....в сети ""Интернет"" признается публичной офертой независимо от того, указаны ли цена и другие существенные условия договора розничной купли-продажи, за исключением случая, когда продавец явно определил, что соответствующие товары не предназначены для продажи.","Оферта должна разъяснять Сторонам договора понятие оферты и определять круг товаров, которые она охватывает, а так же доводить до сведения Покупателя, в какую категорию товара входит преобретаемый товар (продовольственный/технически сложный/тд)","Оферта должна содержать понятие оферты и определять круг товаров, которые она охватывает (прописывать категорию товара -  продовольственный/технически сложный/др)",,
29,ГК РФ Статья 495. Предоставление покупателю информации о товаре,"Покупатель вправе до заключения договора розничной купли-продажи осмотреть товар, потребовать проведения в его присутствии проверки свойств или демонстрации использования товара, если это не исключено ввиду характера товара и не противоречит правилам, принятым в розничной торговле.","Оферта должна содержать право Покупателя на осмотр и демонстрацию товара в момент получения, а так же проверку комплектности и проверку его свойств до его оплаты, если это возмножно в виду характера товара.",Оферта должна содержать право покупателя на демонтасцию товара и проверку его свойств до его оплаты.,,
30,"ГК Статья 421. Свобода договора,   ст. 422. Договор и закон","1. Граждане и юридические лица свободны в заключении договора. Статья 421 ГК РФ подразумевает свободу договора и предоставляет сторонам право самостоятельно определять условия договора, в том числе закреплять возможность их изменения в одностороннем порядке, кроме случаев, когда содержание соответствующего условия предписано законом или иными правовыми актами (ст. 422 ГК РФ).",Оферта должна предупреждать Покупателя об изменении условий договора офреты Продавцом в одностороннем порядке без предупреждения Покупателя об этих изменениях.,Оферта должна содержать предупреждение об изменении офреты в одностороннем порядке,,
31,"ГК и Федеральные законы, регулирующие отношения ",Перечисление нормативно-правовой базы с названиями и номерами актов для ознакомления и отсылки читающего в нормы права (для уточнения пробелов и сокращения основного текста),"Оферта должна информировать Стороны договора о законодательстве, которым руководствовался Продавец при создании оферты.","Оферта должна содержать ссылки на законодательство, которым руководствовался создатель оферты",,
32,"Федеральный Закон ""О персональных данных""",Продавец несет ответсвенность за предоставление недостоверных данных о себе и товаре. Покупатель обязуется предоставить о себе достоверные данные. При предоставлении Покупателем недостоверных данных о себе - Продавец за последствия данного факта ответвенности не несет.,Оферта должна предупреждать Покупателя и другие стороны договора об ответсвенности за не предоставление данных о себе или за предоставление недостоверных данных о себе и вытекающих из этого последствиях.А так же предупреждать Покупателя об отсутсвии ответственности Продавца за предоставление неверных или непредоставление данных Покупателем.,Оферта должна определять зону ответсвенности субъектов за предоставление данных/недостоверных данных о себе.,,
33,"Указ Президента РФ от 22.02.1992 N 179  ""О видах продукции (работ, услуг) и отходов производства, свободная реализация которых запрещена""
","Товар не должен подпадать под список запрещенных товаров в обороте РФ, иметь соответвующую сертификацию и разрешения на продажу (в зависимости от вида товара)","Оферта должна информировать Стороны договора о соответсвии требованиям закона товара, по поводу которого возникают отношения между ними.",Оферта должна содержать указание о соответсвии товара требованиям закона,,
34,Правила продажи товаров при дистанционном способе продажи,"Статья 10 Закона «О защите прав потребителей», не предусматривает такого понятия, как четкое соответствие представленного на сайте или в каталоге изображения товара и товара в натуре.","Оферта должна предупреждать Покупателя о том, что товар может незначительно отличаться в некоторых характеристиках из-за искажения изображения, предоставленного Продавцом в каталоге или на сайте, экраном или других технических причин. ","Оферта должна содержать предупреждние о том, что товар может незначительно отличаться в некоторых характеристиках из-за искажения изображения или других технических причин. ",,
35,п. 1 ст. 168. Налогового Кодекса РФ ,"При реализации товаров (работ, услуг), передаче имущественных прав налогоплательщик дополнительно к цене (тарифу) реализуемых товаров (работ, услуг) обязан предъявить к оплате покупателю этих товаров (работ, услуг), имущественных прав соответствующую сумму налога.","Оферта должна информировать Покупателя о цене товара, установленной Продавцом и валюте, в которой происходит расчет, а так же о включении или не включении НДС в стоимость товара.","Оферта должна содержать информацию о цене, валюте, в которой происходит расчет и о включении/не включении НДС.",,
36,Правила продажи товаров при дистанционном способе продажи,"Товар находится в продаже круглосуточно и доступен к приобретению всем, соответсвенно количество доступное к преобретению постоянно меняется. Исходя из величины спроса и количества товара доступного к преобретению его цена может меняться в режиме реального времени. ","Оферта должна предупреждать Покупателя об изменении наличия товара у Продавца и его цены в режиме реального времени, в ходе торговли дистанционным способом (для Интернет-площадок)",Оферта должна содержать предупреждение об изменении статуса наличия и цены товара в режиме реального времени (для Интернет-площадок),,
37,Разъяснения ФАС России от 09.06.2017 N АК/39035/17 ,"В договоре купли-продажи может быть предусмотрена фиксированная цена товара либо цена, определяемая исходя из его условий. Таким образом, гражданским законодательством допускается включение в договор условий о способе и порядке определения цены. При этом в договоре может быть установлен способ определения цены или ее составной части. ","Оферта должна информировать Покупатетеля о системе лояльности, предусмотренной Продавцом, порядке присоединения к ней, если таковая существует и возмножном изменении стоимости товара.","Оферта должна содержать упоминания о системе лояльности, если таковая существует и возмножном изменении стоимости товара.",,
38,"Определение Второго кассационного суда общей юрисдикции от 22.07.2021 № 88-16389/2021 по делу № 2-6769/2020

Статья 428. Договор присоединения
Статья 421. Свобода договора


","Оферта вправе устанавливать Правила пользования/Пользовательские соглашения/иные внутренние акты, регламентирующие регистрацию и работу Личных кабинетов/аккаунтов/тп, если их положения не противоречат законодательсву РФ. Оферта является договором присоединения. Договор Присоединения, условия которого определены одной из сторон в формулярах или иных стандартных формах и могли быть приняты другой стороной не иначе как путем присоединения к предложенному договору в целом. При заключении пользовательского соглашения у пользователя есть возможность только принять или не принимать условия этого соглашения, но нет возможности их изменить или выработать новые.","Оферта должна предупреждать Покупателя о том, что Продавец вправе устанавливать любые собственные внутренние Правила пользования площадкой, на которой ведется продажа товаров, регламентирующие регистрацию и работу аккаунтов, при условии, что они не противоречат закону РФ.","Оферта вправе устанавливать Правила пользования площадкой, регламентирующие регистрацию и работу аккаунтов, если они не противоречат закону.",,
39,ГК РФ Статья 510. Доставка товаров,"Интернет-магазин вправе доставить Заказ с привлечением услуг третьих лиц, оставаясь ответственным за надлежащее выполнение своих обязательств. Доставка товаров осуществляется поставщиком путем отгрузки их транспортом, предусмотренным договором поставки, и на определенных в договоре условиях.

В случаях, когда в договоре не определено, каким видом транспорта или на каких условиях осуществляется доставка, право выбора вида транспорта или определения условий доставки товаров принадлежит поставщику, если иное не вытекает из закона, иных правовых актов, существа обязательства или обычаев делового оборота.",Оферта должна информировать Покупателя о праве Продавца осуществлять доставку с помощью привлечения третьих лиц.,Оферта должна информировать о возможности доставки с помощью третьих лиц.,,
40,"Федеральный закон от 27.07.2006 N 149-ФЗ  ""Об информации, информационных технологиях и о защите информации""","Конфиденциальность информации - обязательное для выполнения лицом, получившим доступ к определенной информации, требование не передавать такую информацию третьим лицам без согласия ее обладателя;
Лицо, осуществляющее вручение Заказа, имеет право потребовать документы, удостоверяющие личность Получателя.
",Оферта должна предупреждать Покупателя о праве Продавца идентифицировать Получателя товара с помощью удостоверения личности и его обязанности сохранять полученную в ходе идентификации информацию конфиденциальной.,Оферта должна предупреждать о возможности идентификации Получателя с помощью удостоверения личности и своей обязанности сохранять это конфиденциальным.,,
41,"Закон РФ ""О защите прав потребителей""
Статья 16.1. Формы и порядок оплаты при продаже товаров","Продавец (исполнитель, владелец агрегатора в случае использования в своей деятельности наличных расчетов с потребителем) обязан обеспечить возможность оплаты товаров (работ, услуг) путем использования национальных платежных инструментов, а также наличных расчетов по выбору потребителя.","Оферта должна доносить до Покупателя исчерпывающий список форм оплаты, функционирующих в соответсвии закону РФ.","Оферта должна содержать исчерпывающий список форм оплаты, а так же их соответсвие закону РФ.",,
42,"Федеральный закон от 27.07.2006 N 149-ФЗ ""Об информации, информационных технологиях и о защите информации""
Статья 16. Защита информации",Обладатель информации ... обязан обеспечить: предотвращение несанкционированного доступа к информации и (или) передачи ее третьим лицам.. своевременное обнаружение фактов несанкционированного доступа к информации;  предупреждение возможности неблагоприятных последствий ..;недопущение воздействия на технические средства обработки информации..;возможность незамедлительного восстановления информации..;постоянный контроль за ..защищенностью информации;нахождение на территории Российской Федерации баз данных информации...,Оферта должна содержать обязанность Продавца по защите всех данных переданных ему Покупателем в связи с возникновением договорных отношений.,Оферта должна содержать обязанность Продавца о защите всех данных переданных ему Покупателем в связи с возникновением договорных отношений.,,
43,"ГК, ст. 438","Акцептом признается ответ лица, которому адресована оферта, о ее принятии. Совершение лицом, получившим оферту, в срок, установленный для ее акцепта, действий по выполнению указанных в ней условий договора считается акцептом.Акцепт должен быть полным и безоговорочным. Молчание не является акцептом..","Оферта должна предупреждать Покупателя о принятии всех условий предусмотренных Продавцом в оферте, в случае присоединения к данной оферте.",Оферта должна содержать условие присоединения к оферте.,,
44,"ГК, ст. 489","Договором о продаже товара в кредит может быть предусмотрена оплата товара в рассрочку. Договор о продаже товара в кредит с условием о рассрочке платежа считается заключенным, если в нем наряду с другими существенными условиями договора купли-продажи указаны цена товара, порядок, сроки и размеры платежей.","Оферта должна информировать Покупателя о возмножности предоставления Продавцом купли-продажи товара в рассрочку, если таковые условия предоставляются.",Оферта должна содержать порядок и условия купли-продажи товара в рассрочку (если таковые условия предоставляются),,
45,ГК РФ Статья 401,"Лицо, не исполнившее обязательства либо исполнившее его ненадлежащим образом, несет ответственность при наличии вины (умысла или неосторожности), кроме случаев, когда законом или договором предусмотрены иные основания ответственности.

Лицо признается невиновным, если при той степени заботливости и осмотрительности, какая от него требовалась по характеру обязательства и условиям оборота, оно приняло все меры для надлежащего исполнения обязательства.Отсутствие вины доказывается лицом, нарушившим обязательство.","Оферта должна предупреждать Стороны об основаниях отсуствия ответсвенности друг перед дургом при невыполнении обязательств, вытекающих из договора, в том числе о форс-мажорах и краткое описание таких обстоятельств.",Оферта должна содержать упоминания об основаниях отсуствия ответсвенности при невыполнении обязательства.,,
46,"ГПК РФ Статья 132. Документы, прилагаемые к исковому заявлению, ","Претензионный или иной досудебный порядок урегулирования спора является обязательным в случаях, предусмотренных законом или договором. Обязательными документами, при передаче дела в в суд, являются документы, подтверждающие совершение стороной (сторонами) действий, направленных на примирение, если такие действия предпринимались и соответствующие документы имеются.","Оферта должна информировать Стороны об обязательном досудебном урегулировании, случае возникновения споров,по инициативе одной из сторон договора.",Оферта должна содержать упоминание о досудебном урегулировании споров по инициативе стороны договора.,,
47,"Зако ""О защите прав потребителй"" Статья 42.3. Подача и рассмотрение обращений потребителей","Обращение потребителя может быть направлено в письменной форме на бумажном носителе или в электронной форме в орган государственного надзора, иные уполномоченные федеральные органы исполнительной власти, орган исполнительной власти субъекта Российской Федерации либо орган местного самоуправления.

",Оферта может содержать право Покупателя на подачу жалоб в уполномоченные федеральные ограны исполнительной власти и органы государственного надзора при нарушении законодательства Сторонами договора.,Оферта может содержать право Покупателя на подачу жалоб в уполномоченные органы.,,
48,"Гражданский процессуальный кодекс РФ Статья 3. Право на обращение в суд

","Заинтересованное лицо вправе в порядке, установленном законодательством о гражданском судопроизводстве, обратиться в суд за защитой нарушенных либо оспариваемых прав, свобод или законных интересов.    Защита прав потребителей осуществляется судом.       Иски о защите прав потребителей могут быть предъявлены по выбору истца в суд по месту:
нахождения организации, а если ответчиком является индивидуальный предприниматель, его жительства;жительства или пребывания истца; заключения или исполнения договора.",Оферта должна информировать Стороны договора об их праве инициировать судебный процесс в случае возникновения споров и невозмножности достижения примирения.,Оферта должна содержать право сторон инициировать судебный процесс.,,
49,ГК РФ Статья 435. Оферта,"Недействительность какого-либо положения настоящих Правил не влечет за собой недействительность остальных положений.
Юридически закрепленной трактовки нет, но она должна звучить таким или иным образом без потери смысла.",Оферта должна информировать Стороны договора о своей актуальности и юридической силе. ,Оферта должна содержать положения о своей юридической силе.,,